"FR_DEST","DMS ORIG","SCTG2","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total KTons in 2013","Total Ton-Mile in 2013","Total M$ in 2013","Total Current M$ in 2013","Total KTons in 2014","Total Ton-Mile in 2014","Total M$ in 2014","Total Current M$ in 2014","Total KTons in 2015","Total Ton-Mile in 2015","Total M$ in 2015","Total Current M$ in 2015"
"Europe","Nevada","Gravel","0.0023","0.0013","0.0119","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","Nevada","Nonmetallic minerals","19.2094","4.8316","6.4186","21.7768","5.5746","7.2712","7.4092","19.6134","4.8923","6.5519","6.989","19.7141","4.9157","6.5852","7.2613"
"Europe","Nevada","Metallic ores","0","0","0.0075","0","0","0.0075","0.0097","0","0","0.0075","0.0093","0","0","0.0071","0.0078"
"Europe","Nevada","Fuel oils","0.0006","0","0.0087","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","Nevada","Coal-n.e.c.","0.028835955","0.001965271","0.017415781","0.00016250788","1.1075537E-05","5.6898525E-05","5.9254621E-05","0.00016274297","1.1091549E-05","5.6721871E-05","6.2670659E-05","0.00016309638","1.1115778E-05","5.6898525E-05","4.7650826E-05"
"Europe","Nevada","Basic chemicals","3.4874","4.5959","20.7176","3.8701","4.9234","37.239604","48.1122","1.593201","1.6705","20.6202","25.3438","1.560904","1.6173","20.7353","22.5276"
"Europe","Nevada","Pharmaceuticals","0.04139978","0.05539996","2.4321979","0.02830035","0.02250001","1.4489972","1.8802","0.016699956","0.016899961","1.7203995","2.1084","0.016100032","0.016699974","1.641902","2.1468"
"Europe","Nevada","Fertilizers","0.022","0.0073","0.0405","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","Nevada","Chemical prods.","25.44040014","8.199400013","23.50310028","21.17479957","6.459499913","21.53689985","24.5386","24.42430028","7.232999913","23.82679528","28.1853","24.38570028","7.247599613","24.10939528","28.2949"
"Europe","Nevada","Plastics/rubber","0.6281000475","0.7820001006","11.56943016","0.8584010012","1.1372999985","13.62909013","18.5908","0.5284029985","0.6577006042","9.579389681","13.8893","0.5145999985","0.6485001042","9.333744596","12.8215"
"Europe","Nevada","Logs","0.0002","0.0001","0.0083","0","0","0","0.0002","0","0","0","0.0002","0","0","0.0001","0.0002"
"Europe","Nevada","Wood prods.","0.0257002","0.0272","0.08180016","0.00200002","0.0011","0.00979998","0.0175","0.0217004","0.01499996","0.07710016","0.1547","0.0191996","0.01350002","0.06870036","0.1353"
"Europe","Nevada","Newsprint/paper","0.463999975","1.227799999","0.32290002","0.0483002","0.03699995","0.0432004","0.0602","0.03250001","0.046200003","0.0439002","0.0712","0.03130005","0.044600003","0.0424003","0.0669"
"Europe","Nevada","Paper articles","0.002900004","0.004","0.09159996","0.0213","0.02620002","0.438097","0.5882","0.01059996","0.025200004","0.1854998","0.2145","0.01049996","0.025100004","0.1836001","0.2115"
"Europe","Nevada","Printed prods.","0.18899951","0.354200035","5.013678","0.14029972","0.220199977","5.071588","6.6874","0.11729959","0.182300022","4.628138","6.7208","0.11570006","0.180899961","4.526869","6.5552"
"Europe","Nevada","Textiles/leather","0.28339969254","0.2847998283","15.952699533","0.213400003582","0.136999999701","15.1054030806","24.3761","0.35999996865","0.28279999627","21.8899001343","34.659","0.34889997612","0.27820000746","21.238900194","33.2352"
